% Model:              RWGS_demo_CeO2_cycle2_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:41
% Dimension:          1
% Nodes:              82
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         0.9961593312380422
5                         0.9959110979680607
10                        0.9958221876289903
15                        0.9957425040735541
20                        0.9956682517428322
25                        0.9955973845881005
30                        0.9955286874822863
35                        0.9954613765699032
40                        0.9953949102964487
45                        0.9953288926563044
50                        0.9952630199572491
55                        0.9951970496279642
60                        0.9951307809276213
65                        0.9950640424509359
70                        0.9949966837034744
75                        0.9949285692161469
80                        0.9948595742990384
85                        0.9947895818843746
90                        0.994718480110259
95                        0.9946461604175981
100                       0.9945725160072384
105                       0.9944974405516867
110                       0.9944208270865548
115                       0.9943425670272585
120                       0.9942625492702086
125                       0.9941806593470534
130                       0.9940967786068711
135                       0.994010783405494
140                       0.9939225442839544
145                       0.9938319251197585
150                       0.9937387822355742
155                       0.9936429634501078
160                       0.9935443070555467
165                       0.9934426407050028
170                       0.9933377801919064
175                       0.9932295281012635
180                       0.9931176723100248
185                       0.9930019843104594
190                       0.9928822173262384
195                       0.9927581041857595
200                       0.992629354910871
205                       0.9924956539712954
210                       0.9923566571453496
215                       0.9922119879155528
220                       0.9920612333127641
225                       0.9919039391038336
230                       0.9917396041942977
235                       0.9915676740880178
240                       0.9913875332079713
245                       0.9911984958341465
250                       0.9909997953522192
255                       0.9907905714257373
260                       0.9905698545983638
265                       0.9903365476922562
270                       0.9900894031809847
275                       0.9898269954620416
280                       0.989547686608188
285                       0.989249583699161
290                       0.9889304851667279
295                       0.988587812637303
300                       0.9882185233891986
305                       0.9878189965386293
310                       0.9873848830803793
315                       0.9869109053611941
320                       0.9863905844887578
325                       0.9858158629012098
330                       0.9851765708527381
335                       0.9844596543978681
340                       0.9836480280333852
345                       0.982718816455748
350                       0.9816405630414672
355                       0.9803686113774308
360                       0.9788370869556429
365                       0.9769441646653008
370                       0.9745230760246977
375                       0.9712790193199619
380                       0.9666131446963753
385                       0.9586524645325337
390                       0.9334903118382786
395                       0.8164823064871737
400                       0.6286900974640105
404.3506478302821         0.5003054800884348
