% Model:              RWGS_demo_CeO2_cycle1_flow1_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Oct 5 2022, 11:18
% Dimension:          1
% Nodes:              1386
% Expressions:        8
% Description:        
% X                       c/c_max (1) @ t=0        c/c_max (1) @ t=80       c/c_max (1) @ t=160      c/c_max (1) @ t=240      c/c_max (1) @ t=320      c/c_max (1) @ t=400      c/c_max (1) @ t=480      c/c_max (1) @ t=520.97
0                         0.9999902108040754       0.015066616044060342     0.008410732800587406     0.005994830046154722     0.004714562100626043     0.003911451025572546     0.003356409677814537     0.0031328832078945696
1.0106389363155493E-5     0.9999912338117493       0.015110614668422824     0.008435294948300677     0.00601233722807967      0.004728330586675036     0.003922874212125224     0.003366211983491649     0.0031420327485264022
2.0404507952446597E-5     0.999990962345539        0.015155427891892167     0.008460312902660872     0.006030169863667863     0.004742355380269696     0.003934510292615973     0.003376197155673882     0.0031513530562530746
3.0897993080352014E-5     0.9999910343832608       0.01520107044903142      0.008485794943215505     0.00604833388395126      0.0047566411645350495    0.003946363165423261     0.003386368549181381     0.0031608472666460863
4.159055106313618E-5      0.99999101526664         0.015247557329093634     0.00851174949368349      0.0060668353238573025    0.004771192705030484     0.003958436797826616     0.003396729578337281     0.0031705185709820856
5.248595852992239E-5      0.9999910203396869       0.015294903780042637     0.008538185124258602     0.00608568032388696      0.004786014851093233     0.0039707352271381975    0.0034072837179514445    0.0031803702171666797
6.358806375660837E-5      0.9999910189934144       0.015343125312626087     0.00856511055394336      0.006104875131815388     0.004801112537200295     0.003983262561850116     0.003418034504318079     0.0031904055106713376
7.490078802507985E-5      0.9999910193506899       0.015392237704501122     0.008592534652913469     0.006124426104415292     0.004816490784348869     0.003996022982797601     0.0034289855362273163    0.0032006278154835103
8.642812700821763E-5      0.9999910192558754       0.015442257004413035     0.00862046644491311      0.006144339709203221     0.004832154701455465     0.004009020744338159     0.003440140475990893     0.003211040555070066
9.817415218117173E-5      0.9999910192810367       0.015493199536427275     0.008648915109681231     0.006164622526208915     0.004848109486773856     0.004022260175546839     0.003451503050482045     0.0032216472133541714
1.1014301225941769E-4     0.9999910192743596       0.01554508190421537      0.008677889985409092     0.006185281249767925     0.004864360429331999     0.004035745681427765     0.0034630770521897345    0.003232451335705718
1.2233893466408478E-4     0.9999910192761319       0.015597920995394903     0.008707400571229262     0.006206322690337604     0.0048809129103880135    0.004049481744141999     0.00347486634028731      0.0032434565299454044
1.347662270150932E-4      0.9999910192756615       0.015651733985924222     0.00873745652973629      0.0062277537763366884    0.004897772404905479     0.0040634729242519235    0.003486874841715736     0.003254666467362593
1.4742927865260753E-4     0.999991019275786        0.01570653834455191      0.008768067689539244     0.006249581556008587     0.0049149444830480235    0.004077723861982227     0.0034991065522814767    0.0032660848837470337
1.6033256218736384E-4     0.9999910192757531       0.015762351837321897     0.008799244047846318     0.006271813199308545     0.004932434811693499     0.004092239278497602     0.003511565537769168     0.00327771558043458
1.734806350803981E-4      0.9999910192757618       0.015819192532134038     0.008830995773081723     0.006294455999814849     0.0049502491559677295    0.004107023977197317     0.0035242559350691736    0.0032895624253669745
1.868781412527545E-4      0.9999910192757597       0.015877078803361092     0.008863333207535077     0.006317517376664234     0.004968393380798087     0.0041220828450267396    0.0035371819533201268    0.0033016293541658437
2.0052981272572078E-4     0.9999910192757601       0.0159360293365221       0.008896266870043454     0.006341004876511576     0.0049868734524869205    0.004137420853805926     0.0035503478750665805    0.003313920371220969
2.1444047129218845E-4     0.9999910192757601       0.015996063133012724     0.008929807458706295     0.0063649261755141006    0.005005695440305028     0.004153043061575419     0.003563758057431851     0.003326439550792951
2.286150302197191E-4      0.9999910192757601       0.016057199514893        0.00896396585363345      0.0063892890813402195    0.0050248655181052695    0.004168954613959337     0.0035774169333061693    0.0033391910381303713
2.4305849598591723E-4     0.9999910192757601       0.01611945812973275      0.008998753119726376     0.006414101535203106     0.005044389965956446     0.004185160745545871     0.003591329012550237     0.0033521790506015315
2.577759700467249E-4      0.9999910192757601       0.016182858955515144     0.0090341805094929       0.006439371613919204     0.005064275171797554     0.0042016667812853       0.003605498883214281     0.0033654078788408746
2.7277265063826804E-4     0.9999910192757601       0.016247422305598898     0.009070259465895557     0.006465107531991768     0.005084527633112552     0.004218478137905612     0.003619931212772707     0.003378881887910187
2.8805383461287775E-4     0.9999910192757601       0.016313168833739306     0.009107001625233743     0.006491317643719587     0.005105153958625734     0.004235600325345872     0.0036346307493744416    0.0033926055184746577
3.0362491930995233E-4     0.9999910192757601       0.01638011953916875      0.009144418820059962     0.00651801044533104      0.005126160870017831     0.004253038948207381     0.0036496023231090777    0.0034065832879939034
3.194914044623004E-4      0.9999910192757601       0.01644829577173693      0.009182523082130164     0.00654519457714356      0.005147555203662957     0.004270799707222789     0.003664850847288872     0.0034208197919280282
3.3565889413866205E-4     0.9999910192757601       0.016517719237111407     0.009221326645388567     0.006572878825748737     0.0051693439123864935    0.004288888400743188     0.0036803813197467277    0.0034353197049588197
3.521330987230691E-4      0.9999910192757601       0.01658841200203865      0.009260841948986994     0.006601072126223062     0.005191534067244019     0.004307310926243348     0.0036961988241502155    0.0034500877822261564
3.6891983693176727E-4     0.9999910192757601       0.016660396499666354     0.009301081640338948     0.006629783564364552     0.00521413285932142      0.0043260732818451424    0.003712308531331753     0.003465128860579717
3.860250378683926E-4      0.9999910192757601       0.016733695534927148     0.009342058578208667     0.006659022378955311     0.005237147601556235     0.004345181567859272     0.0037287157006349802    0.003480447859846063
4.034547431181436E-4      0.9999910192757601       0.016808332289984393     0.009383785835835283     0.00668879796405019      0.005260585730580377     0.004364641988345368     0.0037454256812774677    0.003496049784111184
4.212151088816756E-4      0.9999910192757601       0.016884330329740425     0.00942627670409224      0.006719119871291644     0.005284454808584307     0.004384460852690574     0.0037624439137297788    0.0035119397230185673
4.3931240814948575E-4     0.9999910192757601       0.016961713607407704     0.009469544694682268     0.006749997812250915     0.005308762525202768     0.004404644577206691     0.0037797759311110285    0.003528122853082895
4.577530329175384E-4      0.9999910192757601       0.01704050647014345      0.00951360354336798      0.006781441660795667     0.005333516699422171     0.004425199686745946     0.003797427360600948     0.00354460443901941
4.7654349644493264E-4     0.9999910192757601       0.017120733664748172     0.00955846721323835      0.006813461455484211     0.005358725281509743     0.004446132816335494     0.003815403924868585     0.003561389835089047
4.956904355543938E-4      0.9999910192757601       0.017202420343428684     0.009604149898011236     0.0068460674019863894    0.005384396354964495     0.004467450712830728     0.0038337114435176875    0.0035784844864593887
5.152006129764119E-4      0.9999910192757601       0.01728559206962609      0.009650666025372165     0.0068792698755312945    0.0054105381384901554    0.004489160236587474     0.0038523558345488445    0.003595893930581518
5.350809197378479E-4      0.9999910192757601       0.017370274823909303     0.009698030260349528     0.006913079423381916     0.005437158987990106     0.0045112683631531375    0.003871343115838454     0.0036136237985828416
5.553383775958558E-4      0.9999910192757601       0.017456495009934674     0.00974625750872644      0.006947506767336841     0.005464267398584459     0.004533782184976906     0.0038906794066345994    0.0036316798166759296
5.759801415179802E-4      0.9999910192757601       0.017544279460472316     0.009795362920489445     0.0069825628062591205    0.005491872006649333     0.004556708913139057     0.003910370929069885     0.0036500678075834653
5.970135022093011E-4      0.9999910192757601       0.0176336554434997       0.00984536189331424      0.007018258618632448     0.005519981591878436     0.004580055879099459     0.003930424009691313     0.0036687936919793497
6.184458886875241E-4      0.9999910192757601       0.0177246506683632       0.0098962700760887       0.0070546054651447615    0.005548605079367057     0.004603830536465346     0.0039508450810072536    0.003687863489946023
6.402848709069204E-4      0.9999910192757601       0.0178172932920082       0.009948103372473382     0.0070916147912993745    0.0055777515417185074    0.004628040462778426     0.003971640683051583     0.003707283322448081
6.625381624320483E-4      0.9999910192757601       0.01791161192527844      0.010000877944499692     0.007129298230053811     0.005607430201173179     0.004652693361321421     0.003992817464965055     0.0037270594128222256
6.852136231621974E-4      0.9999910192757601       0.018007635639285372     0.010054610216206074     0.007167667604486432     0.005637650431760254     0.004677797062944069     0.00401438218659396      0.0037471980882836284
7.083192621075152E-4      0.9999910192757601       0.01810539397184812      0.010109316877312327     0.007206734930491014     0.005668421761472171     0.004703359527908717     0.004036341720106141     0.003767705781448752
7.318632402178076E-4      0.9999910192757601       0.018204916934004955     0.01016501488693235      0.007246512419499404     0.005699753874461971     0.0047293888477555395    0.004058703051624437     0.003788589031874702
7.558538732649938E-4      0.9999910192757601       0.018306235016596967     0.010221721477325602     0.007287012481232394     0.005731656613263583     0.004755893247187477     0.004081473282877596     0.003809854487615153
7.802996347802566E-4      0.9999910192757601       0.01840937919692487      0.010279454157687534     0.007328247726478969     0.005764139981035163     0.004782881085974954     0.00410465963286875      0.003831508906792929
8.052091590469014E-4      0.9999910192757601       0.01851438094547963      0.010338230717979204     0.007370230969904073     0.005797214143825612     0.004810360860880485     0.004128269439561482     0.0038535591591892645
8.30591244150007E-4       0.9999910192757601       0.01862127223274804      0.010398069232796507     0.007412975232885056     0.005830889432864331     0.004838341207603205     0.004152310161583584     0.0038760122278498474
8.564548550839145E-4      0.9999910192757601       0.01873008553609395      0.01045898806527915      0.007456493746376948     0.005865176346874355     0.004866830902743434     0.004176789379948542     0.003898875210707664
8.82809126918689E-4       0.9999910192757601       0.018840853846716375     0.010521005871059861     0.007500799953806748     0.005900085554408973     0.004895838865787369     0.004201714799794839     0.00392215532222273
9.096633680266289E-4      0.9999910192757601       0.018953610676685204     0.010584141602254037     0.007545907513996899     0.005935627896211924     0.004925374161111937     0.004227094252143109     0.00394585989503877
9.370270633700102E-4      0.9999910192757601       0.019068390066055926     0.010648414511490234     0.007591830304118126     0.005971814387601336     0.004955446000009961     0.004252935695671268     0.003969996381656883
9.649098778511818E-4      0.9999910192757601       0.01918522659006417      0.010713844155981872     0.007638582422671836     0.0060086562208774875    0.004986063742735682     0.004279247218507619     0.003994572356126304
9.933216597262328E-4      0.9999910192757601       0.019304155366401468     0.010780450401640523     0.007686178192502302     0.00604616476775454      0.005017236900570757     0.0043060370400420855    0.00401959551575227
0.0010222724440834042     0.9999910192757601       0.019425212062573274     0.010848253427231166     0.007734632163838781     0.006084351581816391     0.005048975137910817     0.004333313512755583     0.004045073682821119
0.0010517724563875073     0.9999910192757601       0.019548432903340685     0.010917273728569833     0.007783959117367869     0.0061232284009967676    0.005081288274372704     0.00436108512406763      0.004071014806342646
