% Model:              RWGS_demo_CeO2_cycle1_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 29 2022, 10:20
% Dimension:          1
% Nodes:              1386
% Expressions:        6
% Description:        
% X                       c/c_max (1) @ t=0        c/c_max (1) @ t=80       c/c_max (1) @ t=160      c/c_max (1) @ t=240      c/c_max (1) @ t=360      c/c_max (1) @ t=436.56
0                         0.0034113870599186613    0.004437462058707863     0.005382731548842721     0.006748856360508835     0.011355494762638446     0.4986773578583304
1.0106389363155493E-5     0.0034213466066624794    0.004437576383543653     0.005382850428909434     0.006748998595436251     0.01135574345964344      0.49868157725060336
2.0404507952446597E-5     0.0034314929610585474    0.004437924895996179     0.005383212835340253     0.006749432201530538     0.011356501619854615     0.49869443988521134
3.0897993080352014E-5     0.0034418283402676635    0.004438516944394419     0.005383828513135572     0.006750168845446787     0.011357789649616916     0.49871629099872855
4.159055106313618E-5      0.003452356549131406     0.004439362058178273     0.005384707414651085     0.006751220447582145     0.01135962840465933      0.4987474826824652
5.248595852992239E-5      0.0034630810350400453    0.004440469944082901     0.005385859698349382     0.0067525991813965494    0.011362039189733617     0.4987883737651985
6.358806375660837E-5      0.0034740054180943548    0.004441850481788163     0.00538729572721346      0.006754317472398421     0.011365043757739212     0.4988393296775563
7.490078802507985E-5      0.0034851333527608766    0.0044435137190135116    0.005389026066809276     0.00675638799678339      0.011368664308317308     0.49890072229724275
8.642812700821763E-5      0.0034964685659543224    0.00444546986603996      0.00539106148298473      0.006758823679714409     0.0113729234858978       0.49897292977429797
9.817415218117173E-5      0.0035080148482809818    0.004447729289642073     0.005393412939193035     0.0067616376932321575    0.011377844377183746     0.4990563363355925
1.1014301225941769E-4     0.0035197760577188168    0.004450302506414605     0.005396091593428811     0.006764843453785106     0.011383450508058633     0.4991513320677747
1.2233893466408478E-4     0.003531756120017196     0.0044532001754804245    0.005399108794765997     0.006768454619369207     0.01138976583990305      0.4992583126779061
1.347662270150932E-4      0.0035439590299859167    0.004456433090568601     0.005402476079487338     0.006772485086267969     0.011396814765308374     0.4993776792310449
1.4742927865260753E-4     0.0035563888525667934    0.004460012171454198     0.0054062051667960985    0.006776948985384341     0.011404622103176389     0.49950983786406655
1.6033256218736384E-4     0.0035690497239824364    0.004463948454754248     0.00541030795410161      0.006781860678156811     0.011413213093195162     0.4996551994750488
1.734806350803981E-4      0.0035819458528837385    0.004468253084077738     0.0054147965118713625    0.006787234752053053     0.011422613389683093     0.49981417938758516
1.868781412527545E-4      0.0035950815215168917    0.004472937299531179     0.005419683078043618     0.006793086015635605     0.011432849054794698     0.49998719698944405
2.0052981272572078E-4     0.0036084610869049037    0.004478012426585373     0.005424980051995845     0.006799429493195108     0.011443946551083448     0.5001746753450412
2.1444047129218845E-4     0.0036220889820449795    0.004483489864313536     0.00543069998806585      0.006806280418948152     0.011455932733419006     0.5003770407812563
2.286150302197191E-4      0.003635969717121382     0.004489381073015815     0.0054368555886241164    0.0068136542307979855    0.011468834840258369     0.5005947224461936
2.4305849598591723E-4     0.0036501078807341853    0.0044956975612504835    0.005443459696697745     0.006821566563657959     0.011482680484272386     0.500828151840559
2.577759700467249E-4      0.003664508141143844     0.004502450872297817     0.005450525288148294     0.006830033242339237     0.011497497642331883     0.5010777623214147
2.7277265063826804E-4     0.0036791752475317284    0.00450965257008862      0.005458065463408055     0.0068390702740059916    0.011513314644859754     0.501343988578157
2.8805383461287775E-4     0.003694114031276727     0.004517314224635771     0.00546609343878158      0.006848693840203212     0.01153016016455827      0.5016272660806641
3.0362491930995233E-4     0.0037093294072480555    0.004525447397013831     0.005474622537321729     0.006858920288464265     0.011548063204523592     0.5019280304996682
3.194914044623004E-4      0.00372482637511416      0.004534063623938694     0.005483666179292218     0.00686976612350737      0.011567053085762228     0.5022467170995143
3.3565889413866205E-4     0.003740610020668188     0.0045431744020064686    0.005493237872231418     0.00688124799803247      0.011587159434127492     0.5025837601035948
3.521330987230691E-4      0.003756685517169822     0.004552791171658048     0.005503351200635082     0.006893382703132205     0.011608412166696815     0.5029395920328723
3.6891983693176727E-4     0.003773058126703335     0.004562925300943373     0.005514019815278905     0.006906187158333232     0.011630841477614333     0.5033146430180401
3.860250378683926E-4      0.003789733201552778     0.004573588069166747     0.005525257422204961     0.006919678401286528     0.01165447782342631      0.5037093400860113
4.034547431181436E-4      0.003806716185593349     0.004584790650502043     0.005537077771399567     0.006933873577128123     0.01167935190794055      0.5041241064215751
4.212151088816756E-4      0.003824012615699846     0.004596544097673826     0.005549494645193551     0.006948789927534237     0.011705494666644282     0.5045593606052136
4.3931240814948575E-4     0.0038416281231718257    0.004608859325807431     0.005562521846419599     0.006964444779497721     0.011732937250718832     0.5050155158282293
4.577530329175384E-4      0.00385956843517555      0.004621747096557548     0.005576173186365008     0.006980855533855521     0.011761711010692854     0.5054929790865025
4.7654349644493264E-4     0.0038778393762032275    0.004635218002631074     0.005590462472562001     0.006998039653599736     0.011791847479779535     0.5059921503543573
4.956904355543938E-4      0.003896446869549071     0.004649282452825302     0.005605403496461535     0.00701601465200793      0.011823378356947061     0.5065134217401981
5.152006129764119E-4      0.0039153969388026465    0.004663950657707309     0.005621010021040389     0.007034798080631171     0.01185633548977509      0.5070571766257385
5.350809197378479E-4      0.0039346957093591055    0.0046792326160641695    0.005637295768395119     0.00705440751718141      0.011890750857153798     0.5076237887908321
5.553383775958558E-4      0.003954349409947122     0.004695138102256296     0.0056542744073802284    0.007074860553362659     0.01192665655188553      0.5082136215260834
