% Model:              RWGS_demo_CeO2_H2_1.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 09:58
% Dimension:          1
% Nodes:              106
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         0.99999101927576
5                         0.99999101927576
10                        0.99999101927576
15                        0.9999910192757597
20                        0.99999101927576
25                        0.99999101927576
30                        0.99999101927576
35                        0.99999101927576
40                        0.99999101927576
45                        0.9999910192757597
50                        0.9999910192757594
55                        0.99999101927576
60                        0.99999101927576
65                        0.99999101927576
70                        0.99999101927576
75                        0.99999101927576
80                        0.9999910192757602
85                        0.99999101927576
90                        0.9999910192757597
95                        0.99999101927576
100                       0.99999101927576
105                       0.99999101927576
110                       0.9999910192757597
115                       0.99999101927576
120                       0.9999910192757597
125                       0.9999910192757601
130                       0.99999101927576
135                       0.99999101927576
140                       0.99999101927576
145                       0.9999910192757601
150                       0.9999910192757597
155                       0.9999910192757601
160                       0.99999101927576
165                       0.99999101927576
170                       0.99999101927576
175                       0.99999101927576
180                       0.99999101927576
185                       0.99999101927576
190                       0.99999101927576
195                       0.99999101927576
200                       0.99999101927576
205                       0.9999910192757597
210                       0.99999101927576
215                       0.99999101927576
220                       0.99999101927576
225                       0.9999910192757596
230                       0.9999910192757601
235                       0.9999910192757601
240                       0.99999101927576
245                       0.99999101927576
250                       0.99999101927576
255                       0.9999910192757597
260                       0.9999910192757601
265                       0.99999101927576
270                       0.99999101927576
275                       0.9999910192757601
280                       0.9999910192757601
285                       0.99999101927576
290                       0.99999101927576
295                       0.9999910192757597
300                       0.9999910192757601
305                       0.9999910192757597
310                       0.99999101927576
315                       0.99999101927576
320                       0.99999101927576
325                       0.99999101927576
330                       0.99999101927576
335                       0.9999910192757601
340                       0.9999910192757597
345                       0.99999101927576
350                       0.99999101927576
355                       0.99999101927576
360                       0.9999910192757601
365                       0.99999101927576
370                       0.99999101927576
375                       0.99999101927576
380                       0.9999910192757602
385                       0.9999910192757601
390                       0.9999910192757597
395                       0.9999910192757601
400                       0.99999101927576
405                       0.99999101927576
410                       0.9999910192757601
415                       0.9999910192757601
420                       0.99999101927576
425                       0.99999101927576
430                       0.9999910192757597
435                       0.9999910192757597
440                       0.99999101927576
445                       0.9999910192757601
450                       0.99999101927576
455                       0.9999910192757601
460                       0.99999101927576
465                       0.9999910192757522
470                       0.9999907593343867
475                       0.9728418622378291
480                       0.8745963157930209
485                       0.7768357564841551
490                       0.7006935928863258
495                       0.6438656081135087
500                       0.6010639922127067
505                       0.5680612427680236
510                       0.5419404613067323
515                       0.5207451375062148
520                       0.5031548921981777
520.968156209364          0.5000835648225247
