% Model:              RWGS_demo_CeO2_H2_1.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 10:52
% Dimension:          1
% Nodes:              1386
% Expressions:        8
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=400           u2 (1) @ t=480           u2 (1) @ t=520.97
0                         1.0000000000001367E-4    0.0728384441898187       0.08921431201513542      0.09956594753762893      0.10727550811878146      0.11346749854693994      0.1186642627884521       0.12103878206063087
1.0106389363155493E-5     9.99999999999982E-5      0.07276450471989765      0.08912969914120929      0.09947548789435953      0.1071811648511612       0.11337033196383674      0.11856493197910717      0.12093852506492207
2.0404507952446597E-5     1.0000000000000059E-4    0.07268947059127323      0.08904382100218876      0.09938366620324418      0.10708539353614856      0.11327168825408199      0.11846408563254782      0.12083673584171889
3.0897993080352014E-5     9.99999999999998E-5      0.07261333053071031      0.08895666415681511      0.09929046768528474      0.10698817842808968      0.11317155091887036      0.1183617066362869       0.12073339700423838
4.159055106313618E-5      1.0000000000000005E-4    0.07253607329101326      0.0888682151803124       0.0991958775685188       0.10688950377985583      0.11306990345026502      0.11825777786176934      0.12062849114631652
5.248595852992239E-5      1.0000000000000002E-4    0.07245768767080393      0.08877846068608335      0.09909988111052814      0.10678935386576421      0.11296672935434246      0.11815228218763013      0.12052200086569573
6.358806375660837E-5      9.999999999999999E-5     0.07237816252044904      0.08868738733235895      0.09900246360541501      0.10668771298873009      0.11286201215844524      0.11804520250700232      0.12041390877134843
7.490078802507985E-5      9.999999999999999E-5     0.07229748674811012      0.08859498182900095      0.09890361039094663      0.10658456548759998      0.11275573541862356      0.11793652173502353      0.1203041974910051
8.642812700821763E-5      9.999999999999999E-5     0.0722156493259204       0.08850123094445907      0.09880330685586954      0.10647989574466565      0.1126478827272677       0.11782622281653635      0.12019284967887955
9.817415218117173E-5      9.999999999999999E-5     0.07213263929628105      0.08840612151287308      0.09870153844739027      0.10637368819335546      0.11253843772092591      0.11771428873398618      0.12007984802359084
1.1014301225941769E-4     9.999999999999999E-5     0.07204844577827396      0.08830964044132487      0.09859829067881834      0.10626592732610164      0.11242738408831082      0.11760070251551097      0.1199651752562835
1.2233893466408478E-4     9.999999999999999E-5     0.07196305797419342      0.08821177471723386      0.09849354913737374      0.10615659770238355      0.11231470557848622      0.11748544724322169      0.11984881415894418
