% Model:              RWGS_demo_CeO2_cycle2_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:42
% Dimension:          1
% Nodes:              1386
% Expressions:        6
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=404.35
0                         0.11699421886554416      0.10763000651145896      0.1004197602564107       0.091776034812821        0.0791920370638268       0.018781985412386598
1.0106389363155493E-5     0.1168955630468654       0.10762919070982646      0.10041908259821339      0.09177541191338937      0.0791914413504286       0.018781882092981775
2.0404507952446597E-5     0.11679540375634126      0.10762670392533406      0.10041701685759474      0.09177351308688717      0.07918962540021968      0.01878156713600885
3.0897993080352014E-5     0.11669372407684658      0.10762247988514376      0.10041350781071956      0.09177028754062169      0.07918654064753962      0.018781032112085934
4.159055106313618E-5      0.11659050707747104      0.1076164513588542       0.1004084993029391       0.0917656836017827       0.07918213769270355      0.018780268442534047
5.248595852992239E-5      0.11648573583674421      0.10760855022622787      0.10040193428666983      0.091759648748837        0.07917636633277148      0.018779267404307676
6.358806375660837E-5      0.11637939344993223      0.10759870755110429      0.10039375486314289      0.09175212964621952      0.07916917559549116      0.018778020135470388
7.490078802507985E-5      0.11627146303652477      0.10758685366163728      0.10038390232813388      0.09174307218241688      0.07916051377650318      0.018776517641229583
8.642812700821763E-5      0.11616192774791603      0.10757291823696086      0.10037231722176936      0.09173242151152339      0.07915032847987419      0.018774750800548457
9.817415218117173E-5      0.11605077077528109      0.10755683040037607      0.10035893938248988      0.09172012209834068      0.07913856666202813      0.01877271037334708
1.1014301225941769E-4     0.1159379753576408       0.10753851881911075      0.10034370800524875      0.09170611776709117      0.0791251746791421       0.018770387008304808
1.2233893466408478E-4     0.11582352479011665      0.10751791181067201      0.1003265617039999       0.09169035175379339      0.07911009833803058      0.018767771251275753
1.347662270150932E-4      0.11570740243237382      0.10749493745577274      0.10030743857851997      0.09167276676233643      0.07909328295057608      0.01876485355432611
1.4742927865260753E-4     0.11558959171724639      0.10746952371777847      0.10028627628559617      0.09165330502428949      0.07907467339171002      0.01876162428539855
1.6033256218736384E-4     0.11547007615955013      0.10744159856857148      0.10026301211457816      0.09163190836245694      0.07905421416095743      0.018758073738610437
1.734806350803981E-4      0.11534883936506984      0.10741109012067585      0.10023758306729241      0.09160851825817087      0.07903184944753672      0.018754192145185953
1.868781412527545E-4      0.11522586503972286      0.10737792676545395      0.10020992594227669      0.0915830759223083       0.07900752319899101      0.018749969685023467
2.0052981272572078E-4     0.11510113699889882      0.10734203731710917      0.10017997742328862      0.09155552236999559      0.0789811791933024       0.018745396498893223
2.1444047129218845E-4     0.11497463917696255      0.10730335116218764      0.10014767417200014      0.09152579849894069      0.07895276111444356      0.01874046270126036
2.286150302197191E-4      0.11484635563692336      0.10726179841420366      0.1001129529247725       0.09149384517132196      0.07892221263126753      0.018735158393723226
2.4305849598591723E-4     0.11471627058026325      0.10721731007295722      0.10007575059338336      0.09145960329913289      0.07888947747965948      0.01872947367905442
2.577759700467249E-4      0.11458436835691639      0.10716981818804405      0.10003600436954113      0.09142301393287033      0.0788544995478146       0.01872339867582871
2.7277265063826804E-4     0.11445063347539906      0.10711925602599784      0.09999365183299291      0.0913840183534175       0.07881722296450579      0.018716923533618715
2.8805383461287775E-4     0.11431505061308067      0.1070655582404324       0.09994863106301144      0.0913425581669631       0.07877759219018095      0.0187100384487325
3.0362491930995233E-4     0.11417760462658764      0.10700866104449093      0.09990088075300432      0.09129857540277048      0.07873555211070365      0.018702733680469742
3.194914044623004E-4      0.11403828056234053      0.10694850238484349      0.09985034032796077      0.0912520126135778       0.07869104813352926      0.018694999567862587
3.3565889413866205E-4     0.1138970636672087       0.10688502211641168      0.09979695006442388      0.09120281297839783      0.07864402628608382      0.0186868265468671
3.521330987230691E-4      0.11375393939928101      0.10681816217693249      0.09974065121263645      0.09115092040745568      0.07859443331609972      0.018678205167967636
3.6891983693176727E-4     0.11360889343874064      0.10674786676042658      0.09968138612048137      0.09109627964897724      0.07854221679362394      0.018669126114149344
3.860250378683926E-4      0.11346191169883846      0.10667408248856602      0.09961909835880978      0.0910388363975144       0.07848732521440707      0.01865958021919367
4.034547431181436E-4      0.11331298033695346      0.10659675857891607      0.09955373284770189      0.090978537403484        0.07842970810435308      0.018649558486246748
4.212151088816756E-4      0.11316208576573521      0.10651584700895535      0.09948523598320214      0.09091533058355292      0.07836931612469009      0.018639052106604596
4.3931240814948575E-4     0.11300921466431149      0.106431302674757        0.09941355576401956      0.09084916513149219      0.0783061011774997       0.018628052478659445
4.577530329175384E-4      0.11285435398955904      0.10634308354320007      0.09933864191766778      0.0907799916291056       0.07824001651123236      0.018616551226944986
4.7654349644493264E-4     0.11269749098742243      0.10625115079654737      0.09926044602549117      0.09070776215680779      0.07817101682581201      0.01860454022121569
4.956904355543938E-4      0.11253861320427042      0.10615546896822664      0.09917892164600411      0.0906324304034149       0.07809905837691697      0.01859201159549369
5.152006129764119E-4      0.11237770849828016      0.10605600606866405      0.09909402443595272      0.0905539517746991       0.078024099079021        0.018578957767013033
5.350809197378479E-4      0.1122147650508378       0.10595273370003772      0.09900571226847887      0.09047228350023269      0.07794609860675306      0.018565371454986726
5.553383775958558E-4      0.11204977137794012      0.10584562715884         0.09891394534777845      0.09038738473804842      0.07786501849413605      0.0185512456991251
5.759801415179802E-4      0.11188271634159087      0.10573466552520033      0.09881868631961113      0.09029921667663249      0.07778082223125972      0.01853657387782684
5.970135022093011E-4      0.1117135891611745       0.10561983173796277      0.09871990037703174      0.0902077426337475       0.07769347535792456      0.01852134972596415
6.184458886875241E-4      0.11154237942479467      0.10550111265460371      0.09861755536070854      0.09011292815160066      0.0776029455538142       0.018505567352186225
6.402848709069204E-4      0.11136907710056873      0.10537849909514654      0.09851162185319623      0.09001474108785495      0.0775092027247386       0.01848922125565916
6.625381624320483E-4      0.11119367254785917      0.10525198586934435      0.0984020732665477       0.08991315170200145      0.07741221908450674      0.01847230634216379
6.852136231621974E-4      0.11101615652843164      0.10512157178650847      0.0982888859226535       0.08980813273659799      0.07731196923198821      0.018454817939473483
7.083192621075152E-4      0.11083652021752527      0.1049872596474967       0.09817203912573563      0.08969965949291751      0.07720843022294654      0.018436751811933216
7.318632402178076E-4      0.11065475521481968      0.10484905621850041      0.09805151522643368      0.08958770990053747      0.07710158163622735      0.018418104174163077
7.558538732649938E-4      0.11047085355528641      0.10470697218644037      0.09792729967695665      0.08947226458044233      0.07699140563392204      0.018398871703813637
7.802996347802566E-4      0.11028480771990706      0.10456102209591558      0.09779938107682085      0.08935330690121873      0.07687788701512477      0.01837905155329856
8.052091590469014E-4      0.1100966106462487       0.10441122426783572      0.0976677512087285       0.08923082302796073      0.07676101326296195      0.018358641360438147
8.30591244150007E-4       0.10990625573887566      0.10425760070002311      0.09753240506419095      0.08910480196352791      0.07664077458456384      0.018337639257946535
8.564548550839145E-4      0.10971373687958688      0.10410017695024981      0.09739334085856263      0.08897523558182907      0.07651716394370364      0.01831604388170106
8.82809126918689E-4       0.10951904843746224      0.10393898200235935      0.09725056003519736      0.0888421186528533       0.07639017708586336      0.018293854377737527
9.096633680266289E-4      0.10932218527870333      0.1037740481162728       0.0971040672585187       0.08870544885919834      0.07625981255550911      0.018271070407918127
9.370270633700102E-4      0.10912314277625292      0.10360541066286705      0.0969538703958526       0.08856522680389972      0.0761260717054138       0.01824769215422574
9.649098778511818E-4      0.10892191681917933      0.10343310794487208      0.09679998048794008      0.08842145600940723      0.07598895869789635      0.018223720321642795
9.933216597262328E-4      0.10871850382180892      0.10325718100507716      0.09664241170813584      0.08827414290759762      0.07584848049789981      0.018199156139579335
0.0010222724440834042     0.10851290073259337      0.10307767342328275      0.09648118131036218      0.08812329682078195      0.07570464685786163      0.018174001361822296
