% Model:              RWGS_demo_CeO2_cycle1_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 29 2022, 10:20
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=400           u2 (1) @ t=436.56
0                         0.12103878206063085      0.1124173067231735       0.10612359457259833      0.09904784419734072      0.0900117570230933       0.07584551310392929      0.024770983425072463
1.0106389363155493E-5     0.12093852506492203      0.1124164414289098       0.10612288123553085      0.09904719137718643      0.0900111370734081       0.07584490644948544      0.024770530087543922
2.0404507952446597E-5     0.12083673584171889      0.11241380379724515      0.10612070673878544      0.0990452013422855       0.09000924723771764      0.07584305715116925      0.024769148265795324
3.0897993080352014E-5     0.12073339700423838      0.11240932359735945      0.10611701296878633      0.09904182086323302      0.09000603696034822      0.07583991576443083      0.024766801363843023
4.159055106313618E-5      0.12062849114631652      0.11240292963174073      0.10611174084608542      0.09903699579072778      0.09000145480686492      0.07583543200538775      0.024763452428586526
5.248595852992239E-5      0.12052200086569573      0.11239454981468132      0.10610483036716663      0.09903067108889588      0.08999544849486192      0.0758295547833081       0.024759064205168976
6.358806375660837E-5      0.12041390877134844      0.11238411125776576      0.10609622065046842      0.09902279087210711      0.08998796492799743      0.07582223223639305      0.024753599196020014
7.490078802507985E-5      0.12030419749100507      0.112371540362494        0.10608584998673996      0.09901329844538945      0.08997895023335678      0.07581341177092918      0.024747019723524492
8.642812700821763E-5      0.12019284967887951      0.11235676292014334      0.10607365589383554      0.09900213634852696      0.08996834980222697      0.07580304010389338      0.024739287996231263
9.817415218117173E-5      0.12007984802359081      0.11233970421894368      0.10605957517603803      0.09898924640391835      0.0899561083343503       0.0757910633090712       0.024730366178490046
1.1014301225941769E-4     0.11996517525628347      0.1123202891586052       0.10604354398798366      0.09897456976826688      0.0899421698857241       0.07577742686674824      0.024720216463378464
1.2233893466408478E-4     0.11984881415894416      0.11229844237218616      0.10602549790325515      0.09895804698815747      0.08992647791999323      0.0757620757170131       0.024708801148747118
1.347662270150932E-4      0.11973074757290691      0.11227408835524814      0.10600537198768267      0.09893961805956278      0.08990897536347556      0.07574495431670067      0.024696082716185522
1.4742927865260753E-4     0.11961095840755623      0.11224715160219226      0.10598310087737833      0.09891922249130912      0.08988960466384771      0.07572600670000382      0.02468202391268247
1.6033256218736384E-4     0.11948942964921301      0.11221755674961831      0.1059586188615074       0.09889679937252108      0.08986830785250338      0.07570517654274045      0.024666587834722146
1.734806350803981E-4      0.1193661443702083       0.11218522872648223      0.10593185996977644      0.09887228744403286      0.08984502661058015      0.07568240723027114      0.02464973801453472
1.868781412527545E-4      0.11924108573814204      0.11215009291076936      0.105902758064596        0.09884562517375402      0.08981970233863812      0.07565764192903468      0.024631438508188087
2.0052981272572078E-4     0.11911423702531741      0.1121120752923348       0.10587124693784575      0.09881675083594586      0.08979227622995073      0.07563082366164975      0.02461165398518772
2.1444047129218845E-4     0.11898558161835243      0.11207110264148523      0.10583726041214458      0.0987856025943496       0.08976268934735829      0.0756018953855131       0.02459034981922325
2.286150302197191E-4      0.11885510302796141      0.11202710268281348      0.10580073244650086      0.09875211858908459      0.08973088270360574      0.0755708000748121       0.024567492179682744
2.4305849598591723E-4     0.11872278489890312      0.11198000427371374      0.1057615972461812       0.09871623702721356      0.08969679734507172      0.07553748080583413      0.024543048123538785
2.577759700467249E-4      0.11858861102008986      0.11192973758692928      0.10571978937661028      0.09867789627684703      0.08966037443877775      0.07550188084544746      0.024516985687189602
2.7277265063826804E-4     0.11845256533485218      0.11187623429641635      0.10567524388107422      0.09863703496463241      0.0896215553625353       0.0754639437425954       0.024489273977834066
2.8805383461287775E-4     0.11831463195135367      0.11181942776571197      0.10562789640196998      0.09859359207645338      0.08958028179807692      0.07542361342263496      0.02445988326394468
3.0362491930995233E-4     0.11817479515314833      0.11175925323793992      0.10557768330531032      0.0985475070611371       0.08953649582698629      0.07538083428431255      0.024428785064403435
3.194914044623004E-4      0.11803303940987686      0.11169564802649065      0.1055245418081477       0.09849871993693579      0.08949014002922251      0.0753355512991602       0.02439595223585935
3.3565889413866205E-4     0.11788934938808965      0.11162855170535775      0.10546841010855235      0.09844717140052947      0.08944115758400978      0.07528771011306346      0.02436135905787459
3.521330987230691E-4      0.11774370996219372      0.11155790629803661      0.10540922751774351      0.09839280293826722      0.08938949237284484      0.07523725714973405      0.024324981315431173
3.6891983693176727E-4     0.11759610622551592      0.1114836564638259       0.10534693459393427      0.09833555693933282      0.08933508908433589      0.07518413971579022      0.02428679637838055
3.860250378683926E-4      0.11744652350146745      0.11140574968033204      0.10528147327740647      0.09827537681050647      0.08927789332058716      0.07512830610714101      0.02424678327743613
4.034547431181436E-4      0.11729494735481022      0.11132413642091182      0.1052127870263149       0.09821220709214973      0.08921785170479885      0.0750697057163226       0.02420492277632552
4.212151088816756E-4      0.11714136360300825      0.11123877032575796      0.10514082095267446      0.09814599357503426      0.08915491198973906      0.07500828914044683      0.02416119743973954
4.3931240814948575E-4     0.11698575832765924      0.11114960836531246      0.10506552195794819      0.09807668341760033      0.08908902316672998      0.0749440082893715       0.02411559169674788
4.577530329175384E-4      0.11682811788599523      0.11105661099466914      0.10498683886763804      0.09800422526320508      0.08902013557475717      0.07487681649370873      0.024068091899368947
4.7654349644493264E-4     0.1166684289224394       0.11095974229761937      0.10490472256424457      0.09792856935691358      0.08894820100930162      0.07480666861225063      0.024018686376019324
4.956904355543938E-4      0.11650667838021203      0.11085897011902868      0.10481912611793533      0.09784966766134807      0.08887317283047605      0.0747335211383935       0.023967365479599618
5.152006129764119E-4      0.11634285351297177      0.11075426618423832      0.10473000491424908      0.0977674739711073       0.08879500607003066      0.07465733230512164      0.023914121630004413
5.350809197378479E-4      0.11617694189648414      0.11064560620423959      0.10463731677814157      0.09768194402524416      0.08871365753677796      0.0745780621881013       0.023858949350883302
5.553383775958558E-4      0.11600893144029951      0.11053296996543394      0.10454102209366432      0.09759303561728419      0.08862908591998514      0.07449567280642669      0.023801845300512093
