time [s] ,T [C] ,p-p_amb [bar] ,v_H2 [slm] ,v_CO2 [slm] ,v_Ar [slm] ,x_H2 [%] ,x_CO2 [%] ,x_CO [%] ,x_O2 [%] ,x_CH4 [%] ,Ar MFC sp [slm],H2 MFC sp [slm],CO2 MFC sp [slm]
36.665792,804.059856,0.035849,0.397295,0.0,0.0,0.004822435517365067,-2.579813e-05,-0.002558,-0.003164,0.0,0.0,0.3,0.0
37.66755,804.039993,0.033884,0.330014,0.0,0.0,0.002135979195974512,-2.579813e-05,-0.002763,-0.004189,0.0,0.0,0.3,0.0
38.663646,804.063198,0.032323,0.304005,0.0,0.0,0.00356689303993751,0.000384,-0.002353,-0.003164,0.0,0.0,0.3,0.0
39.663024,804.046428,0.032323,0.299982,0.0,0.0,0.003134339940880657,0.000384,-0.002353,-0.002652,0.0,0.0,0.3,0.0
40.668514,804.05145,0.033262,0.299434,0.0,0.0,0.00233674569742504,0.000179,-0.002558,-0.003677,0.0,0.0,0.3,0.0
41.665647,804.056578,0.033098,0.297919,0.0,0.0,0.004781458880877222,-0.000231,-0.002558,-0.004189,0.0,0.0,0.3,0.0
42.661524,804.071169,0.034452,0.298925,0.0,0.0,0.006005360867352266,-0.000641,-0.002353,-0.002652,0.0,0.0,0.3,0.0
43.661541,804.072846,0.032796,0.29783,0.0,0.0,0.006656934699887122,0.000384,-0.002148,-0.004189,0.0,0.0,0.3,0.0
44.664575,804.065253,0.032888,0.297273,0.0,0.0,0.006667465807455998,-2.579813e-05,-0.002558,-0.004189,0.0,0.0,0.3,0.0
45.667773,804.062165,0.033674,0.297666,0.0,0.0,0.006232877340661626,0.000384,-0.002148,-0.002652,0.0,0.0,0.3,0.0
46.669841,804.064841,0.031941,0.2998,0.0,0.0,0.006279710631691369,0.000179,-0.002353,-0.003677,0.0,0.0,0.3,0.0
47.669572,804.069079,0.033572,0.299689,0.0,0.0,0.0056321897641424205,0.000384,-0.004608,-0.002652,0.0,0.0,0.3,0.0
