time [s] ,T [C] ,p-p_amb [bar] ,v_H2 [slm] ,v_CO2 [slm] ,v_Ar [slm] ,x_H2 [%] ,x_CO2 [%] ,x_CO [%] ,x_O2 [%] ,x_CH4 [%] ,Ar MFC sp [slm],H2 MFC sp [slm],CO2 MFC sp [slm]
36.612061,800.829362,0.031406,0.0,0.0,0.299636,-0.026773932917686878,0.000589,-0.002558,-0.002652,0.0,0.3,0.0,0.0
37.611972,800.845712,0.031014,0.0,0.0,0.299092,-0.028753176679737,0.000384,-0.002353,-0.003677,0.0,0.3,0.0,0.0
38.612527,800.834803,0.031229,0.0,0.0,0.299221,-0.02695838441574741,0.000589,-0.002148,-0.001627,0.0,0.3,0.0,0.0
39.612022,800.848677,0.03188,0.0,0.0,0.298881,-0.029433762767082466,0.000179,-0.002353,-0.003164,0.0,0.3,0.0,0.0
40.612907,800.848972,0.031221,0.0,0.0,0.29948,-0.029220599588017027,0.000589,-0.003173,-0.004189,0.0,0.3,0.0,0.0
41.61238,800.844256,0.0319,0.0,0.0,0.29934,-0.03048945954091131,0.000589,-0.002148,-0.002652,0.0,0.3,0.0,0.0
42.612011,800.854167,0.031912,0.0,0.0,0.299837,-0.027350093348453067,0.000384,-0.001943,-0.003677,0.0,0.3,0.0,0.0
43.612034,800.856474,0.031785,0.0,0.0,0.29974,-0.03088616694392792,0.000179,-0.002353,-0.003164,0.0,0.3,0.0,0.0
44.613235,800.864812,0.031296,0.0,0.0,0.300219,-0.027584671714175404,0.000384,-0.002148,-0.002652,0.0,0.3,0.0,0.0
45.612722,800.860725,0.031638,0.0,0.0,0.298563,-0.02842721508302317,0.000179,-0.002148,-0.003677,0.0,0.3,0.0,0.0
46.61248,800.860096,0.030697,0.0,0.0,0.298999,-0.027775327197407308,0.000384,-0.002148,-0.002652,0.0,0.3,0.0,0.0
47.613162,800.868457,0.030052,0.0,0.0,0.300318,-0.02802131459134795,-2.579813e-05,-0.001943,-0.003677,0.0,0.3,0.0,0.0
48.612571,800.868478,0.031585,0.0,0.0,0.299102,-0.029634671333397374,0.000179,-0.002763,-0.004701,0.0,0.3,0.0,0.0
49.613257,800.853514,0.030393,0.0,0.0,0.29928,-0.027791731997139867,0.000179,-0.002558,-0.002652,0.0,0.3,0.0,0.0
50.612164,800.861136,0.03072,0.0,0.0,0.300968,-0.029241066957663084,0.000384,-0.001943,-0.002652,0.0,0.3,0.0,0.0
51.613173,800.870241,0.031275,0.0,0.0,0.300326,-0.029222633282287476,0.000384,-0.002558,-0.003677,0.0,0.3,0.0,0.0
52.612688,800.875712,0.031574,0.0,0.0,0.299033,-0.030882067246345974,0.000589,-0.004403,-0.002652,0.0,0.3,0.0,0.0
53.612263,800.883919,0.031132,0.0,0.0,0.300109,-0.02881877937260466,0.000794,-0.001738,-0.002652,0.0,0.3,0.0,0.0
54.612435,800.868991,0.030443,0.0,0.0,0.299157,-0.027982379654444757,0.000384,-0.001738,-0.004189,0.0,0.3,0.0,0.0
55.612509,800.864695,0.030951,0.0,0.0,0.300169,-0.02801102997845894,0.000179,-0.002148,-0.004189,0.0,0.3,0.0,0.0
56.612786,800.87387,0.031272,0.0,0.0,0.300041,-0.0311732179409686,0.000384,-0.001943,-0.003164,0.0,0.3,0.0,0.0
57.612948,800.874414,0.032029,0.0,0.0,0.301078,-0.029413294239688498,0.000589,-0.002558,-0.002652,0.0,0.3,0.0,0.0
58.612545,800.883006,0.03158,0.0,0.0,0.300621,-0.03214478050969057,0.001204,-0.001328,-0.004189,0.0,0.3,0.0,0.0
59.612215,800.880582,0.031361,0.0,0.0,0.299269,-0.030452621334728997,0.000179,-0.001533,-0.002652,0.0,0.3,0.0,0.0
60.612131,800.873853,0.031099,0.0,0.0,0.29844,-0.03102151445046975,0.000794,-0.002353,-0.003164,0.0,0.3,0.0,0.0
61.612796,800.874475,0.030908,0.0,0.0,0.299537,-0.03088204127929141,-2.579813e-05,-0.001738,-0.002652,0.0,0.3,0.0,0.0
62.612753,800.886395,0.031674,0.0,0.0,0.299985,-0.028970471704882237,0.000384,-0.001533,-0.003677,0.0,0.3,0.0,0.0
63.611987,800.889234,0.031454,0.0,0.0,0.299464,-0.02927796990167452,0.000179,-0.001533,-0.002139,0.0,0.3,0.0,0.0
64.612014,800.893305,0.030903,0.0,0.0,0.299422,-0.028035678886164282,0.000589,-0.003583,-0.003164,0.0,0.3,0.0,0.0
65.6129,800.901189,0.032229,0.0,0.0,0.298874,-0.029036071211949933,0.000589,-0.001738,-0.002139,0.0,0.3,0.0,0.0
66.61389,800.888453,0.031509,0.0,0.0,0.299066,-0.03047723242298923,0.000589,-0.002353,-0.002652,0.0,0.3,0.0,0.0
67.611989,800.891228,0.031051,0.0,0.0,0.299459,-0.029255406037444528,-2.579813e-05,-0.001943,-0.003164,0.0,0.3,0.0,0.0
68.612336,800.889805,0.031747,0.0,0.0,0.29876,-0.0304813202951634,0.000794,-0.002763,-0.003164,0.0,0.3,0.0,0.0
69.612763,800.88442,0.031758,0.0,0.0,0.299308,-0.029460424613574964,0.000179,-0.002148,-0.001115,0.0,0.3,0.0,0.0
70.613319,800.886306,0.031869,0.0,0.0,0.30022,-0.030087708090206496,0.000179,-0.002148,-0.001627,0.0,0.3,0.0,0.0
71.613111,800.891063,0.031739,0.0,0.0,0.300154,-0.02925747843706597,-0.000436,-0.002148,-0.005214,0.0,0.3,0.0,0.0
72.612065,800.88569,0.031257,0.0,0.0,0.299587,-0.028453861072275696,-0.000436,-0.003173,-0.008801,0.0,0.3,0.0,0.0
73.613301,800.899005,0.030893,0.0,0.0,0.300133,-0.0302804373014286,-2.579813e-05,-0.002558,-0.004189,0.0,0.3,0.0,0.0
74.612807,800.891276,0.031499,0.0,0.0,0.30036,-0.02865885180264062,-2.579813e-05,-0.002353,-0.003677,0.0,0.3,0.0,0.0
75.612146,800.890316,0.031289,0.0,0.0,0.30025,-0.028759338406524428,-0.000436,-0.002353,-0.003164,0.0,0.3,0.0,0.0
76.613935,800.896887,0.030852,0.0,0.0,0.299587,-0.017152327094482143,0.000794,-0.002148,-0.002652,0.0,0.3,0.0,0.0
77.613952,800.900704,0.030505,0.0,0.0,0.299015,-0.02966536920957415,-0.000231,-0.002763,-0.002652,0.0,0.3,0.0,0.0
78.612096,800.901343,0.031105,0.0,0.0,0.298469,-0.029628606222759733,0.000794,-0.002353,-0.002652,0.0,0.3,0.0,0.0
