% Model:              RWGS_demo_CeO2_cycle1_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 29 2022, 10:18
% Dimension:          1
% Nodes:              1386
% Expressions:        1
% Description:        Dependent variable u2
% X                       u2 (1) @ t=436.56
0                         0.024770983425072463
1.0106389363155493E-5     0.024770530087543922
2.0404507952446597E-5     0.024769148265795324
3.0897993080352014E-5     0.024766801363843023
4.159055106313618E-5      0.024763452428586526
5.248595852992239E-5      0.024759064205168976
6.358806375660837E-5      0.024753599196020014
7.490078802507985E-5      0.024747019723524492
8.642812700821763E-5      0.024739287996231263
9.817415218117173E-5      0.024730366178490046
1.1014301225941769E-4     0.024720216463378464
1.2233893466408478E-4     0.024708801148747118
1.347662270150932E-4      0.024696082716185522
1.4742927865260753E-4     0.02468202391268247
1.6033256218736384E-4     0.024666587834722146
1.734806350803981E-4      0.02464973801453472
1.868781412527545E-4      0.024631438508188087
2.0052981272572078E-4     0.02461165398518772
2.1444047129218845E-4     0.02459034981922325
2.286150302197191E-4      0.024567492179682744
2.4305849598591723E-4     0.024543048123538785
2.577759700467249E-4      0.024516985687189602
2.7277265063826804E-4     0.024489273977834066
2.8805383461287775E-4     0.02445988326394468
3.0362491930995233E-4     0.024428785064403435
3.194914044623004E-4      0.02439595223585935
3.3565889413866205E-4     0.02436135905787459
3.521330987230691E-4      0.024324981315431173
3.6891983693176727E-4     0.02428679637838055
3.860250378683926E-4      0.02424678327743613
4.034547431181436E-4      0.02420492277632552
4.212151088816756E-4      0.02416119743973954
4.3931240814948575E-4     0.02411559169674788
4.577530329175384E-4      0.024068091899368947
4.7654349644493264E-4     0.024018686376019324
4.956904355543938E-4      0.023967365479599618
5.152006129764119E-4      0.023914121630004413
5.350809197378479E-4      0.023858949350883302
5.553383775958558E-4      0.023801845300512093
5.759801415179802E-4      0.02374280829667226
5.970135022093011E-4      0.023681839335468538
6.184458886875241E-4      0.023618941604056823
6.402848709069204E-4      0.023554120487278188
6.625381624320483E-4      0.02348738356823702
6.852136231621974E-4      0.023418740622887183
7.083192621075152E-4      0.02334820360871835
7.318632402178076E-4      0.023275786647665817
7.558538732649938E-4      0.0232015060033869
7.802996347802566E-4      0.023125380053072388
8.052091590469014E-4      0.023047429253980685
8.30591244150007E-4       0.022967676104896098
8.564548550839145E-4      0.022886145102734713
8.82809126918689E-4       0.022802862694526548
9.096633680266289E-4      0.02271785722501842
9.370270633700102E-4      0.02263115888014715
9.649098778511818E-4      0.02254279962664114
9.933216597262328E-4      0.022452813148013555
0.0010222724440834042     0.022361234777209894
0.0010517724563875073     0.022268101426180166
0.0010818321160915663     0.022173451512643494
0.0011124620403169952     0.02207732488431257
0.0011436730476035732     0.021979762740843907
0.0011754761617305807     0.021880807553782133
0.0012078826156104062     0.021780502984758553
0.0012409038552560392     0.021678893802204866
0.0012745515438238114     0.0215760257968382
0.0013088375657328527     0.021471945696171557
0.0013437740308626775     0.02136670107829751
0.001379373278830424      0.021260340285191994
0.0014156478833492168     0.021152912335776902
0.0014526106566692355     0.0210444668389793
0.0014902746541030096     0.020935053907017866
0.001528653178636588      0.020824724069143447
0.001567759785628165      0.02071352818605303
0.0016076082875958668     0.020601517365194923
0.001648212759096342      0.02048874287717263
0.0016895875416959344     0.020375256073451146
0.00173174724903613       0.020261108305560722
0.0017747067719951367     0.02014635084598919
0.0018184812839473516     0.020031034810941366
0.0018630862461226372     0.019915211085141094
0.001908537413067235      0.019798930248839365
0.0019548508382083176     0.019682242507182823
0.002002042879524067      0.019565197622091007
0.0020501302053213557     0.019447844846774504
0.002099129800123006      0.019330232863022677
0.0021490589706667624     0.019212409721372017
0.0021999353520180506     0.01909442278425933
0.0022517769137987234     0.018976318672250064
0.002304601966533948      0.01885814321341945
0.0023584291681195226     0.01873994139595581
0.0024132775304118725     0.01862175732403442
0.0024691664259430686     0.018503634177007896
0.002526115594763242      0.01838561417193751
0.0025841451514127954     0.018267738529480215
0.0026432755920268976     0.018150047443135912
0.002703527801574751      0.018032580051839976
0.002764923061236195      0.017915374415879814
0.0028274830559182557     0.017798467496097467
0.00289122988191429       0.017681895136330283
0.0029561860547084357     0.017565692049028744
0.0030223745169281136     0.017449891803978393
0.003089818646447403      0.01733452682004432
0.003158542264644146      0.01721962835984285
0.0032285696448136974     0.017105226527239635
0.0032999255207422887     0.016991350267557947
0.0033726350954430555     0.01687802737038078
0.0034467240500577574     0.016765284474815508
0.003522218552927433      0.01665314707708772
0.003599145268835073      0.016541639540323082
0.0036775313684236813     0.01643078510637254
0.0037574045377929835     0.016320605909532326
0.003838792988278208      0.016211122992005313
0.003921725466414371      0.016102356320951593
0.004006231264089606      0.015994324806974502
0.004092340228891101      0.015887046323887263
0.004180082774647326      0.015780537729607448
0.004269489892170224      0.015674814888031654
0.004360593160201255      0.015569892691740462
0.004453424756565013      0.01546578508539273
0.004548017469534537      0.015362505089670969
0.004644404709412129      0.015260064825647731
0.004742620520329984      0.015158475539445122
0.004842699592274587      0.01505774762707197
0.004944677273339301      0.014957890659326189
0.005048589582209357      0.014858913406662348
0.005154473220883726      0.014760823863928706
0.0052623655876383145     0.014663629274890167
0.005372304790235109      0.014567336156460931
0.005484329659381879      0.014471950322578083
0.005598479762447276      0.01437747690766008
0.005714795417436066      0.014283920389598852
0.005833317707229548      0.014191284612244065
0.00595408849409604       0.014099572807347149
0.006077150434476774      0.014008787615938472
0.006202546994052162      0.013918931109120528
0.006330322463093984      0.013830004808263385
0.006460521972108746      0.013742009704597952
0.00659319150777789       0.013654946278206891
