% Model:              RWGS_demo_CeO2_cycle2_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:32
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        
% X                       c/c_max (1) @ t=0        c/c_max (1) @ t=80       c/c_max (1) @ t=160      c/c_max (1) @ t=240      c/c_max (1) @ t=320      c/c_max (1) @ t=400      c/c_max (1) @ t=446.73
0                         0.2170955446319346       0.014149322915458923     0.008148955120771541     0.005869174607997614     0.004639890026235579     0.0038615763613894707    0.003524403489093994
1.0106389363155493E-5     0.21710351338788714      0.014190642862003342     0.008172752821193481     0.0058863148459534186    0.004653440450252827     0.003872853899817354     0.0035346963862177712
2.0404507952446597E-5     0.21712706189939482      0.014232727953480812     0.008196992205633281     0.0059037737524285415    0.004667243146170622     0.0038843416345783993    0.0035451812403884215
3.0897993080352014E-5     0.21716718389723091      0.014275592034210275     0.008221681299213938     0.005921557136033723     0.004681302724189674     0.003896043415235871     0.003555861571053768
4.159055106313618E-5      0.2172244240853165       0.014319249187924536     0.008246828266864396     0.005939670907170065     0.004695623875687877     0.003907963159410467     0.003566740960013111
5.248595852992239E-5      0.21729946176110734      0.014363713741551628     0.008272441415555012     0.0059581210796742275    0.004710211374544119     0.003920104853898627     0.0035778230524458263
6.358806375660837E-5      0.21739295377471834      0.014409000269045335     0.008298529196562538     0.005976913772485817     0.004725070078480254     0.003932472555806412     0.003589111557954404
7.490078802507985E-5      0.21750557553949956      0.014455123595264992     0.008325100207764847     0.005996055211337045     0.0047402049304213385    0.003945070393699057     0.0036006102516220307
8.642812700821763E-5      0.21763800954151252      0.014502098799905204     0.008352163195965559     0.00601555173046492      0.004755620959874309     0.0039579025687663544    0.003612322975084845
9.817415218117173E-5      0.2177909478774094       0.014549941221475581     0.008379727059248837     0.006035409774346078     0.004771323284325226     0.003970973356003993     0.0036242536376189793
1.1014301225941769E-4     0.2179650909336589       0.014598666461331098     0.008407800849364518     0.006055635899454421     0.0047873171106552394    0.003984287105410927     0.0036364062172425204
1.2233893466408478E-4     0.21816114707013637      0.014648290387753168     0.00843639377414381      0.006076236776041741     0.004803607736575375     0.003997848243202985     0.0036487847618324886
1.347662270150932E-4      0.2183798319961693       0.014698829140082092     0.008465515199945761     0.006097219189941472     0.004820200552080337     0.004011661273042764     0.003661393390256968
1.4742927865260753E-4     0.21862186819381882      0.014750299132900933     0.008495174654134664     0.006118590044395734     0.004837101040921402     0.004025730777285965     0.0036742362935224845
1.6033256218736384E-4     0.21888798429452697      0.014802717060271427     0.008525381827588642     0.006140356361905812     0.004854314782098564     0.004040061418244281     0.003687317735936769
1.734806350803981E-4      0.21917891443596085      0.014856099900022108     0.00855614657723957      0.006162525286106244     0.004871847451372087     0.004054657939464969     0.003700642056286982
1.868781412527545E-4      0.21949539759365783      0.01491046491808911      0.008587478928644563     0.006185104083662631     0.0048897048227935095    0.0040695251670271855    0.003714213669033551
2.0052981272572078E-4     0.2198381768908599       0.014965829672909933     0.008619389078589196     0.006208100146193349     0.004907892770256334     0.004084668010855237     0.0037280370655196904
2.1444047129218845E-4     0.22020799888774967      0.015022212019870581     0.008651887397722643     0.006231520992215292     0.004926417269066434     0.004100091466048832     0.003742116815196731
2.286150302197191E-4      0.22060561285184682      0.015079630115806377     0.008684984433224945     0.006255374269113785     0.004945284397532361     0.004115800614230447     0.0037564575668653693
2.4305849598591723E-4     0.22103177001141572      0.015138102423556845     0.008718690911506564     0.006279667755136817     0.004964500338575635     0.004131800624909945     0.0037710640499329065
2.577759700467249E-4      0.221487222793597        0.01519764771657503      0.008753017740940436     0.00630440936141371      0.004984071381361141     0.004148096756866479     0.0037859410756866177
2.7277265063826804E-4     0.2219727240491557       0.01525828508359156      0.00878797601462667      0.006329607133998416     0.005004003922947778     0.004164694359547889     0.003801093538583331
2.8805383461287775E-4     0.22248902626555664      0.015320033933333857     0.008823577013190092     0.006355269255937474     0.005024304469959426     0.004181598874487582     0.0038165264175553017
3.0362491930995233E-4     0.2230368807701959       0.015382913999300878     0.008859832207610836     0.0063814040493628725    0.00504497964027637      0.0041988158367390815    0.003832244777332504
3.194914044623004E-4      0.22361703692539703      0.015446945344593682     0.008896753262088077     0.006408019977609871     0.005066036164747296     0.004216350876328304     0.0038482537697814108
3.3565889413866205E-4     0.22423024131681743      0.015512148366802318     0.008934352036937222     0.006435125647359921     0.00508748088892194      0.0042342097197236635    0.0038645586352603614
3.521330987230691E-4      0.22487723693667888      0.015578543802949235     0.008972640591520543     0.0064627298108088345    0.005109320774804519     0.004252398191324097     0.003881164703991609
3.6891983693176727E-4     0.22555876236320432      0.0156461527344898       0.009011631187211634     0.006490841367860316     0.0051315629026280375    0.0042709222149651125    0.0038980773974501264
3.860250378683926E-4      0.22627555093744547      0.01571499659237012      0.009051336290393687     0.006519469368344946     0.005154214472649565     0.0042897878154429395    0.00391530222976927
4.034547431181436E-4      0.2270283299384568       0.015785097162142766     0.009091768575491908     0.00654862301426481      0.005177282806966604     0.004309001120056873     0.00393284480916337
4.212151088816756E-4      0.2278178197577175       0.015856476589140522     0.00913294092804008      0.0065783116620637926    0.005200775351354609     0.0043285683601699       0.00395071083936734
4.3931240814948575E-4     0.2286447330733938       0.015929157383708988     0.00917486644778166      0.006608544824923777     0.005224699677125803     0.004348495872787691     0.003968906121093379
4.577530329175384E-4      0.22950977402485487      0.016003162426497932     0.009217558451805382     0.006639332175086726     0.005249063483009339     0.00436879010215604      0.003987436553504852
