% Model:              RWGS_demo_CeO2_H2_2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 14 2022, 09:13
% Dimension:          1
% Nodes:              638
% Expressions:        1
% Description:        Function
% d                       Height
3.5003500350035E-5        0.9999992056240489
7.000700070007E-5         0.9999960599261795
1.05010501050105E-4       0.9999899452131444
1.4001400140014E-4        0.9999804531133276
1.75017501750175E-4       0.9999672633395437
2.1002100210021E-4        0.9999501074169916
2.45024502450245E-4       0.9999287517511413
2.8002800280028E-4        0.9999029881448447
3.1503150315031505E-4     0.99987262788298
3.5003500350035E-4        0.9998374977648814
3.85038503850385E-4       0.9997974372996908
4.2004200420042E-4        0.9997522966430434
4.55045504550455E-4       0.999701935030693
4.9004900490049E-4        0.9996462195588321
5.25052505250525E-4       0.9995850242142693
5.6005600560056E-4        0.9995182290896124
5.95059505950595E-4       0.999445719738599
6.300630063006301E-4      0.9993673866396866
6.65066506650665E-4       0.9992831247447015
7.000700070007E-4         0.9991928330953098
7.35073507350735E-4       0.999096414494283
7.7007700770077E-4        0.998993775221544
8.05080508050805E-4       0.9988848247871962
8.4008400840084E-4        0.9987694757153809
8.750875087508751E-4      0.9986476433540487
9.1009100910091E-4        0.9985192457066836
9.45094509450945E-4       0.9983842032827553
9.8009800980098E-4        0.9982424389642477
0.001015101510151015      0.998093877886073
0.00105010501050105       0.9979384473285399
0.0010851085108510852     0.9977760766203447
0.00112011201120112       0.9976066970507811
0.001155115511551155      0.9974302417900724
0.00119011901190119       0.9972466458168819
0.001225122512251225      0.99705584585219
0.0012601260126012602     0.9968577802988408
0.001295129512951295      0.9966523891861554
0.00133013301330133       0.9964396141190811
0.001365136513651365      0.9962193982314154
0.0014001400140014        0.9959916861427035
0.0014351435143514352     0.9957564239184516
0.00147014701470147       0.995513559033341
0.001505150515051505      0.9952630403371635
0.00154015401540154       0.9950048180232325
0.001575157515751575      0.9947388435990472
0.00161016101610161       0.9944650698590105
0.001645164516451645      0.9941834508590282
0.00168016801680168       0.9938939418928217
0.001715171517151715      0.993596499469823
0.0017501750175017501     0.9932910812945084
0.001785178517851785      0.9929776462470646
0.00182018201820182       0.9926561543652751
0.001855185518551855      0.9923265668275303
0.00189018901890189       0.9919888459368765
0.0019251925192519251     0.99164295510602
0.00196019601960196       0.9912888588432127
0.001995199519951995      0.990926522738956
0.00203020302030203       0.9905559134534566
0.002065206520652065      0.9901769987047778
0.0021002100210021        0.9897897472576405
0.002135213521352135      0.9893941289128141
0.0021702170217021703     0.9889901144970654
0.0022052205220522048     0.9885776758536164
0.00224022402240224       0.9881567858330746
0.0022752275227522754     0.9877274182848027
0.00231023102310231       0.9872895480486943
0.002345234523452345      0.9868431509473218
0.00238023802380238       0.9863882037784354
0.0024152415241524153     0.9859246843077798
0.00245024502450245       0.985452571262208
0.002485248524852485      0.9849718443230685
0.0025202520252025204     0.9844824841198462
0.002555255525552555      0.9839844722240315
0.00259025902590259       0.9834777911432092
0.0026252625262526254     0.9829624243153368
0.00266026602660266       0.9824383561032081
0.002695269526952695      0.9819055717890783
0.00273027302730273       0.981364057569441
0.0027652765276527653     0.9808138005499404
0.0028002800280028        0.9802547887404076
0.002835283528352835      0.9796870110500122
0.0028702870287028704     0.9791104572825085
0.002905290529052905      0.9785251181315794
0.00294029402940294       0.9779309851762542
0.002975297529752975      0.9773280508764016
0.00301030103010301       0.9767163085682841
0.003045304530453045      0.9760957524601646
0.00308030803080308       0.9754663776279616
0.0031153115311531154     0.9748281800109405
0.00315031503150315       0.9741811564074397
0.003185318531853185      0.973525304470619
0.00322032203220322       0.9728606227042292
0.003255325532553255      0.9721871104583936
0.00329032903290329       0.9715047679253969
0.0033253325332533255     0.9708135961354788
0.00336033603360336       0.9701135969526217
0.0033953395339533948     0.9694047730703348
0.00343034303430343       0.9686871280074255
0.0034653465346534654     0.967960666103753
0.0035003500350035003     0.9672253925159677
0.0035353535353535347     0.9664813132132231
0.00357035703570357       0.9657284349728626
0.003605360536053605      0.964966765376079
0.00364036403640364       0.9641963128035385
0.0036753675367536755     0.9634170864309712
0.00371037103710371       0.962629096224723
0.003745374537453745      0.9618323529372669
0.00378037803780378       0.9610268681026732
0.0038153815381538154     0.9602126540320328
0.0038853885388538847     0.9585580912842964
0.003955395539553955      0.9568687785463214
0.0040254025402540255     0.9551448418016737
0.004095409540954095      0.9533864190098852
0.004165416541654165      0.951593659947555
0.004235423542354235      0.9497667260457615
0.004305430543054305      0.9479057902236763
0.004375437543754375      0.9460110367183064
0.004445444544454445      0.9440826609103093
0.0045154515451545155     0.9421208691458466
0.004585458545854585      0.9401258785544647
0.004655465546554655      0.9380979168630091
0.004725472547254726      0.9360372222055982
0.004795479547954795      0.9339440429296912
0.004865486548654865      0.9318186373983159
0.004935493549354935      0.9296612737885172
0.005005500550055005      0.927472229886116
0.005075507550755075      0.9252517928768743
0.005145514551455145      0.9230002591341706
0.0052155215521552155     0.9207179340033093
0.005285528552855285      0.9184051315825893
0.005355535553555355      0.916062174501269
0.005425542554255426      0.9136893936945786
0.005495549554955495      0.911287128175926
0.005565556555655565      0.9088557248064659
0.005635563556355635      0.9063955380621912
0.0057055705570557055     0.9039069297987252
0.005775577557755775      0.9013902690139927
0.005845584558455845      0.8988459316089479
0.005915591559155916      0.8962743001465521
0.005985598559855985      0.8936757636091855
0.006055605560556055      0.8910507171546925
0.006125612561256125      0.8883995618712472
0.006195619561956195      0.8857227045312462
0.006265626562656265      0.8830205573444176
0.006335633563356335      0.8802935377103519
0.0064056405640564055     0.8775420679706518
