% Model:              RWGS_demo_CeO2_cycle2_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:31
% Dimension:          1
% Nodes:              91
% Expressions:        1
% Description:        Point graph
% X                       Height
0                         0.9999999987186485
5                         0.9999995943433181
10                        0.9999993428477041
15                        0.9999990777499467
20                        0.9999987968958277
25                        0.9999984968267566
30                        0.9999981750908934
35                        0.9999978293519404
40                        0.9999974573988646
45                        0.9999970569537308
50                        0.9999966256198201
55                        0.9999961608308545
60                        0.9999956598123985
65                        0.9999951195462415
70                        0.9999945367347659
75                        0.999993907763356
80                        0.9999932286594481
85                        0.9999924950470447
90                        0.9999917020955338
95                        0.9999908444616284
100                       0.9999899162230728
105                       0.9999889108025624
110                       0.9999878208800735
115                       0.9999866382913073
120                       0.99998535390955
125                       0.9999839575097111
130                       0.9999824376373478
135                       0.9999807812682302
140                       0.9999789738616499
145                       0.999976998833258
150                       0.9999748372006766
155                       0.9999724676856476
160                       0.9999698655780817
165                       0.9999670024687278
170                       0.9999638454596305
175                       0.9999603563830524
180                       0.9999564902787448
185                       0.9999521942305692
190                       0.9999474046362331
195                       0.9999420464052545
200                       0.9999360273347092
205                       0.999929237707464
210                       0.9999215475819649
215                       0.9999128085168006
220                       0.9999028611133461
225                       0.999891528301722
230                       0.9998785831628246
235                       0.9998636980158996
240                       0.9998464567603784
245                       0.9998263651018847
250                       0.9998027961315005
255                       0.9997749480353514
260                       0.9997417778032338
265                       0.9997019132236509
270                       0.9996535166541383
275                       0.9995940909214628
280                       0.9995201577674688
285                       0.9994267580560456
290                       0.9993065430045132
295                       0.9991478564558385
300                       0.9989291827846088
305                       0.9985957346680621
310                       0.9979266315218275
315                       0.9957098855109503
320                       0.986709560385711
325                       0.9627348388692737
330                       0.9247689704829753
335                       0.8813075150568077
340                       0.8390050156182024
345                       0.8007537102738745
350                       0.767163823885059
355                       0.7378873944115932
360                       0.7122956240801047
365                       0.689755117826492
370                       0.6697181181874775
375                       0.6517381016008387
380                       0.6354595727771969
385                       0.620601521590155
390                       0.6069415256101424
395                       0.5943025111004714
400                       0.5825423521400607
405                       0.5715459070493073
410                       0.5612189831848989
415                       0.551483772369431
420                       0.5422753894569398
425                       0.5335392333428574
430                       0.5252289610224048
435                       0.5173049201092313
440                       0.5097329260483473
445                       0.5024833002050894
446.72546115206734        0.5000515255147454
