% Model:              RWGS_demo_CeO2_cycle2_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:31
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=400           u2 (1) @ t=446.73
0                         0.024779703184638062     0.07451591790563591      0.09015484112874786      0.10023377605546925      0.10779821218451792      0.11389913248520041      0.11699421886554422
1.0106389363155493E-5     0.024779248989409964     0.07444080830719521      0.09006966754904516      0.1001429639649232       0.10770362035519407      0.11380177899221115      0.11689556304686538
2.0404507952446597E-5     0.024777864553606532     0.07436458570390572      0.08998321955192422      0.10005078390628439      0.10760759620230258      0.11370294508730375      0.11679540375634126
3.0897993080352014E-5     0.024775513212967056     0.07428723860096463      0.08989548357373821      0.09995722101602036      0.10751012391595159      0.11360261422015815      0.11669372407684654
4.159055106313618E-5      0.024772157946167318     0.07420875552901592      0.08980644606659043      0.09986226043695673      0.10741118768416073      0.11350076983076911      0.11659050707747103
5.248595852992239E-5      0.024767761430362745     0.07412912506416139      0.08971609352011435      0.09976588734082706      0.10731077171580519      0.1133973953726014       0.11648573583674424
6.358806375660837E-5      0.0247622861004212       0.07404833583397623      0.0896244124681573       0.09966808693526624      0.10720886024777998      0.11329247431984898      0.1163793934499322
7.490078802507985E-5      0.02475569421178763      0.07396637652364989      0.08953138949562159      0.09956884447097654      0.10710543755234259      0.11318599017488404      0.1162714630365248
8.642812700821763E-5      0.024747947906896467     0.07388323588225461      0.08943701124545672      0.09946814524905792      0.10700048794463773      0.11307792647589406      0.116161927747916
9.817415218117173E-5      0.02473900928501915      0.07379890272913806      0.08934126442580188      0.09936597462851285      0.1068939957904018       0.11296826680470974      0.11605077077528111
1.1014301225941769E-4     0.024728840475403427     0.07371336596043586      0.08924413581727872      0.09926231803391072      0.10678594551384381      0.11285699479481767      0.11593797535764078
1.2233893466408478E-4     0.024717403713536736     0.0736266145557052       0.08914561228042762      0.0991571609632178       0.10667632160570373      0.1127440941395574       0.11582352479011662
1.347662270150932E-4      0.024704661420329604     0.07353863758467094      0.08904568076329014      0.09905048899578742      0.1065651086314786       0.1126295486005025       0.11570740243237382
1.4742927865260753E-4     0.024690576283997113     0.07344942421408608      0.08894432830912807      0.0989422878005066       0.10645229123982539      0.11251334201601987      0.11558959171724638
1.6033256218736384E-4     0.024675111344373987     0.07335896371469774      0.08884154206428187      0.0988325431440964       0.10633785417112668      0.11239545831001045      0.11547007615955013
1.734806350803981E-4      0.02465823007938157      0.07326724546832099      0.08873730928615654      0.09872124089956599      0.10622178226622159      0.11227588150081838      0.11534883936506986
1.868781412527545E-4      0.02463989649333361      0.07317425897500862      0.08863161735134101      0.09860836705480899      0.10610406047529519      0.11215459571031405      0.11522586503972296
2.0052981272572078E-4     0.024620075206744238     0.07307999386031996      0.08852445376384815      0.09849390772134414      0.10598467386692598      0.11203158517314446      0.11510113699889885
2.1444047129218845E-4     0.024598731547274648     0.07298443988267783      0.08841580616347407      0.09837784914319353      0.1058636076372846       0.11190683424614403      0.11497463917696259
2.286150302197191E-4      0.024575831641442503     0.07288758694081245      0.0883056623342714       0.09826017770589232      0.10574084711947628      0.11178032741790536      0.11484635563692336
2.4305849598591723E-4     0.024551342506688622     0.07278942508128539      0.08819401021313072      0.09814087994562647      0.10561637779302972      0.11165204931850148      0.11471627058026324
2.577759700467249E-4      0.024525232143391962     0.07268994450608735      0.08808083789846399      0.09801994255849217      0.10549018529351689      0.11152198472935679      0.1145843683569164
